1514473066	0	1514473067
1514473067	5	1514473076
1514473076	10	1514473086
1514473086	13	1514473087
1514473087	15	1514473096
1514473096	20	1514473106
1514473106	24	1514473107
1514473107	25	1514473116
1514473116	27	1514473117
1514473117	30	1514473129
1514473129	35	1514473139
1514473139	36	1514473140
1514473140	40	1514473148
1514473148	45	1514473165
1514473165	46	1514473168
1514473168	47	1514473170
1514473170	48	1514473174
1514473174	50	1514473175
1514473175	52	1514473176
1514473176	53	1514473187
1514473187	54	1514473190
1514473190	56	1514473202
1514473202	57	1514473214
1514473214	58	1514473223
1514473223	61	1514473231
1514473231	62	1514473237
1514473237	63	1514473239
1514473239	75	1514473264
1514473264	77	1514473266
1514473266	80	1514473269
1514473269	82	1514473272
1514473272	85	1514473282
1514473282	86	1514473289
1514473289	90	1514473290
1514473290	95	1514473300
1514473300	100	1514473301
1514473301	98	1514473302
1514473302	51	1514473303
